======================================================================
  MEV INSURANCE — ECONOMIC REPORT
  2026-05-12 11:44:28
======================================================================

──────────────────────────────────────────────────────────────────────
  EVOLUZIONE POOL (ogni 2 min)
──────────────────────────────────────────────────────────────────────
       Ora         MEVI Pool        ETH Pool
  01:27:05   126.94 USDC →   89.5117 MEVI  | att: NO
  01:27:30   124.43 USDC →   94.6161 MEVI  | att: NO
  01:27:57   142.68 USDC →  104.1518 MEVI  | att: NO
  01:28:48   143.94 USDC →  124.3440 MEVI  | att: NO
  01:29:14   121.84 USDC →  113.5755 MEVI  | att: NO
  01:29:40   123.18 USDC →  115.6046 MEVI  | att: SI  perdita: 4.6137  rimborso: NON ASSICURATO
  01:30:05   131.83 USDC →   91.7647 MEVI  | att: NO
  01:30:31   120.68 USDC →   88.8286 MEVI  | att: NO
  01:30:58   121.81 USDC →  102.5249 MEVI  | att: NO
  01:31:23   121.74 USDC →  106.3768 MEVI  | att: NO
  01:31:49   125.67 USDC →  122.5889 MEVI  | att: NO
  01:32:15   135.43 USDC →   94.1638 MEVI  | att: NO
  01:32:40   141.55 USDC →  102.6445 MEVI  | att: NO
  01:33:05   143.07 USDC →   75.9069 MEVI  | att: NO
  01:33:31   140.46 USDC →  109.0662 MEVI  | att: SI  perdita: 9.1580  rimborso: NON ASSICURATO
  01:33:56   134.90 USDC →  128.7927 MEVI  | att: NO
  01:35:08   104.84 USDC →   83.1942 MEVI  | att: NO
  01:35:34   139.30 USDC →  116.8677 MEVI  | att: NO
  01:36:00   124.26 USDC →  115.2798 MEVI  | att: NO
  01:36:25   108.52 USDC →  106.2147 MEVI  | att: NO
  01:36:50   105.21 USDC →   77.4714 MEVI  | att: NO
  01:37:15   146.17 USDC →  105.5566 MEVI  | att: NO
  01:37:39   114.45 USDC →   86.0843 MEVI  | att: NO
  01:38:04   116.95 USDC →   96.9660 MEVI  | att: SI  perdita: 3.6308  rimborso: NON ASSICURATO
  01:38:29   148.50 USDC →  129.8819 MEVI  | att: NO
  01:39:27   117.19 USDC →   81.2775 MEVI  | att: NO
  01:39:52   119.58 USDC →   66.7629 MEVI  | att: SI  perdita: 2.0411  rimborso: NON ASSICURATO
  01:40:17   136.74 USDC →  104.7813 MEVI  | att: NO
  01:40:42   136.24 USDC →  114.7486 MEVI  | att: NO
  01:41:07   120.65 USDC →  102.0221 MEVI  | att: NO
  01:41:32   113.91 USDC →   99.2757 MEVI  | att: NO
  01:41:57   142.03 USDC →   83.3123 MEVI  | att: NO
  01:42:24   147.43 USDC →  113.1381 MEVI  | att: NO
  01:42:49   135.51 USDC →   95.9150 MEVI  | att: NO
  01:43:14   117.89 USDC →   93.1378 MEVI  | att: NO
  01:43:39   127.24 USDC →  113.2902 MEVI  | att: NO
  01:44:05   110.18 USDC →  103.6621 MEVI  | att: SI  perdita: 4.1424  rimborso: NON ASSICURATO
  01:44:31   110.72 USDC →   76.7833 MEVI  | att: NO
  01:44:56   120.93 USDC →  103.3834 MEVI  | att: NO
  01:45:22   145.56 USDC →  124.3935 MEVI  | att: NO
  01:45:49   127.18 USDC →  112.4044 MEVI  | att: NO
  01:46:13   121.79 USDC →  105.9515 MEVI  | att: NO
  01:46:38   125.93 USDC →  122.8362 MEVI  | att: NO
  01:47:04   134.25 USDC →   92.4043 MEVI  | att: NO
  01:47:28   114.57 USDC →   95.7383 MEVI  | att: NO
  01:47:53   103.66 USDC →   88.5572 MEVI  | att: NO
  01:48:19   128.82 USDC →  111.4073 MEVI  | att: NO
  01:48:44   147.20 USDC →  137.5150 MEVI  | att: SI  perdita: 5.4754  rimborso: NON ASSICURATO
  01:49:12   140.36 USDC →   89.3264 MEVI  | att: NO
  01:49:37   100.92 USDC →   48.1381 MEVI  | att: NO
  01:51:28   120.99 USDC →  118.1315 MEVI  | att: NO
  01:52:28   122.87 USDC →  101.4893 MEVI  | att: NO
  01:52:52   124.92 USDC →  106.2341 MEVI  | att: NO
  01:53:18   116.07 USDC →   79.3205 MEVI  | att: NO
  01:53:44   131.62 USDC →  109.6866 MEVI  | att: NO
  01:54:09   103.12 USDC →   83.4679 MEVI  | att: NO
  01:54:50   149.98 USDC →  108.3674 MEVI  | att: NO
  01:55:15   139.37 USDC →  111.3871 MEVI  | att: NO
